GEOID,mean_norm_ppt_01,mean_norm_ppt_02,mean_norm_ppt_03,mean_norm_ppt_04,mean_norm_ppt_05,mean_norm_ppt_06,mean_norm_ppt_07,mean_norm_ppt_08,mean_norm_ppt_09,mean_norm_ppt_10,mean_norm_ppt_11,mean_norm_ppt_12,mean_norm_ppt_annual,mean_norm_solclear_01,mean_norm_solclear_02,mean_norm_solclear_03,mean_norm_solclear_04,mean_norm_solclear_05,mean_norm_solclear_06,mean_norm_solclear_07,mean_norm_solclear_08,mean_norm_solclear_09,mean_norm_solclear_10,mean_norm_solclear_11,mean_norm_solclear_12,mean_norm_solclear_annual,mean_norm_soltotal_01,mean_norm_soltotal_02,mean_norm_soltotal_03,mean_norm_soltotal_04,mean_norm_soltotal_05,mean_norm_soltotal_06,mean_norm_soltotal_07,mean_norm_soltotal_08,mean_norm_soltotal_09,mean_norm_soltotal_10,mean_norm_soltotal_11,mean_norm_soltotal_12,mean_norm_soltotal_annual,mean_norm_soltrans_01,mean_norm_soltrans_02,mean_norm_soltrans_03,mean_norm_soltrans_04,mean_norm_soltrans_05,mean_norm_soltrans_06,mean_norm_soltrans_07,mean_norm_soltrans_08,mean_norm_soltrans_09,mean_norm_soltrans_10,mean_norm_soltrans_11,mean_norm_soltrans_12,mean_norm_soltrans_annual,mean_norm_tdmean_01,mean_norm_tdmean_02,mean_norm_tdmean_03,mean_norm_tdmean_04,mean_norm_tdmean_05,mean_norm_tdmean_06,mean_norm_tdmean_07,mean_norm_tdmean_08,mean_norm_tdmean_09,mean_norm_tdmean_10,mean_norm_tdmean_11,mean_norm_tdmean_12,mean_norm_tdmean_annual,mean_norm_tmax_01,mean_norm_tmax_02,mean_norm_tmax_03,mean_norm_tmax_04,mean_norm_tmax_05,mean_norm_tmax_06,mean_norm_tmax_07,mean_norm_tmax_08,mean_norm_tmax_09,mean_norm_tmax_10,mean_norm_tmax_11,mean_norm_tmax_12,mean_norm_tmax_annual,mean_norm_tmean_01,mean_norm_tmean_02,mean_norm_tmean_03,mean_norm_tmean_04,mean_norm_tmean_05,mean_norm_tmean_06,mean_norm_tmean_07,mean_norm_tmean_08,mean_norm_tmean_09,mean_norm_tmean_10,mean_norm_tmean_11,mean_norm_tmean_12,mean_norm_tmean_annual,mean_norm_tmin_01,mean_norm_tmin_02,mean_norm_tmin_03,mean_norm_tmin_04,mean_norm_tmin_05,mean_norm_tmin_06,mean_norm_tmin_07,mean_norm_tmin_08,mean_norm_tmin_09,mean_norm_tmin_10,mean_norm_tmin_11,mean_norm_tmin_12,mean_norm_tmin_annual,mean_norm_vpdmax_01,mean_norm_vpdmax_02,mean_norm_vpdmax_03,mean_norm_vpdmax_04,mean_norm_vpdmax_05,mean_norm_vpdmax_06,mean_norm_vpdmax_07,mean_norm_vpdmax_08,mean_norm_vpdmax_09,mean_norm_vpdmax_10,mean_norm_vpdmax_11,mean_norm_vpdmax_12,mean_norm_vpdmax_annual,mean_norm_vpdmin_01,mean_norm_vpdmin_02,mean_norm_vpdmin_03,mean_norm_vpdmin_04,mean_norm_vpdmin_05,mean_norm_vpdmin_06,mean_norm_vpdmin_07,mean_norm_vpdmin_08,mean_norm_vpdmin_09,mean_norm_vpdmin_10,mean_norm_vpdmin_11,mean_norm_vpdmin_12,mean_norm_vpdmin_annual,osc_mtu_per_ha
1001,135.6973371,137.6789364,138.7151109,115.6845588,101.2620773,121.5277279,131.4234848,113.6386665,96.88722947,77.59387853,107.9661346,136.572001,1414.648613,14.21861965,18.02213956,22.79380765,26.95353696,29.27697684,29.94338045,29.02209805,26.7314594,23.34901944,19.15377013,14.97818901,12.87377262,22.27635949,8.724791594,11.05014915,15.15159144,19.46147717,21.688363,21.74883593,21.10365239,19.3623749,16.99689134,13.95452673,10.59210562,7.689255075,15.62695488,0.613588219,0.613099982,0.664683512,0.721997629,0.740756451,0.726282333,0.727117631,0.724290567,0.727911744,0.728511746,0.707127039,0.597243516,0.690996455,2.748692863,4.382204589,7.21064806,11.1550797,15.99092665,20.00222536,21.69940408,21.36018421,18.66955133,13.04723263,7.391932774,4.545583391,12.35010676,13.76061373,16.28211843,20.55804192,24.4220229,28.43550164,31.45935559,32.75023216,32.56617203,30.28752044,25.11451349,19.33110197,14.94529494,24.15928758,7.850008016,10.03031972,13.9441384,17.71995488,22.20011002,25.85305349,27.28942169,27.02352286,24.41988997,18.64651478,12.65918313,9.075878603,18.05952061,1.939529361,3.778662238,7.33036807,11.0180197,15.96486315,20.2468842,21.82872649,21.48099713,18.55239949,12.17866322,5.987389278,3.206597555,11.95939965,7.951477415,10.22547743,14.39307255,17.81693836,21.29906304,23.62429933,24.57433591,25.02100875,22.61628539,17.18982665,12.06491265,8.069135099,17.06999368,0.564427045,0.655985864,0.964431737,0.885964681,1.105381149,1.289927024,1.260829373,1.243327024,1.208765843,0.864301153,0.619389396,0.497329398,0.930352914,2.66568194
1003,143.3306505,119.4568514,133.4821199,134.2767476,121.0292577,169.2983246,197.154901,171.9807384,153.0034149,102.9135261,112.9295945,136.9683643,1695.825974,14.97104021,18.67096649,23.2481915,27.11609012,29.23919172,29.79890629,28.95562272,26.8464671,23.70532871,19.73832005,15.73654775,13.68629254,22.64270564,9.93383074,12.26764448,16.58311257,20.36690663,22.5907417,21.51383626,20.52250233,18.97476061,17.26204225,14.97379544,11.55604662,8.860478014,16.28376654,0.663431782,0.656948937,0.713227597,0.751052283,0.772574875,0.721923413,0.708721325,0.706767764,0.728164834,0.758549771,0.734283663,0.647320901,0.713526761,5.260789001,7.049124909,9.841377572,13.1954432,17.47418409,21.22620662,22.63339693,22.50544709,20.4552463,14.97214104,9.878465034,7.004139994,14.29100381,15.94672601,17.98217942,21.46167397,24.92310936,28.74257122,31.3832833,32.24956324,32.15991288,30.56398752,26.35737048,21.22409904,17.41347909,25.03371474,9.999754966,11.94693403,15.27803059,18.84059287,23.20256762,26.41153033,27.53899594,27.36219721,25.41775338,20.38869823,14.86503645,11.44101392,19.39099779,4.052928768,5.911816585,9.094519875,12.75821181,17.66270253,21.43991451,22.82854713,22.56460571,20.2716439,14.42016618,8.506102285,5.468678537,13.7484503,8.54125207,10.28103572,13.55688291,16.78688534,20.67627775,22.06699693,21.37411447,21.27903294,20.5828409,17.33983172,12.48505744,8.955823214,16.16049622,0.501379484,0.503876136,0.605301657,0.682363582,0.911759394,1.098331356,1.06822801,0.936335961,1.024134285,0.838184077,0.64461337,0.483971953,0.774597471,16.01235882
1005,122.8310914,119.4656459,126.7867529,114.0856785,85.74761521,123.6221226,146.3870348,121.139324,101.2778685,75.48829421,103.0550889,135.7339171,1375.621984,14.53244625,18.30534314,23.00268439,27.0936842,29.33229554,29.92006617,29.02367144,26.81243538,23.53511901,19.40230775,15.2793981,13.18173201,22.45172195,9.226734333,11.68494104,16.06523497,19.94889734,22.91744305,21.71291457,21.20950699,19.148201,16.77510412,14.06294172,10.83446663,8.2886028,15.98953798,0.634839082,0.638287957,0.698359381,0.736240581,0.781263891,0.725652611,0.73071727,0.714108254,0.712721785,0.72473231,0.709009003,0.628732315,0.702836824,3.46888639,4.914623942,7.417175748,11.20418771,15.70518679,19.92252356,21.62863634,21.41063256,18.80749051,13.31018541,7.9741532,5.18877132,12.57939288,14.94341693,17.20616352,21.25354526,24.97980613,29.05283393,31.76714804,32.87842543,32.51813235,30.37768722,25.72705425,20.30776487,16.1672409,24.76503011,8.600253141,10.57013507,14.24456805,17.91337849,22.4017641,25.86833238,27.20051358,26.83994748,24.43135956,19.0326333,13.33838991,9.912283209,18.36269944,2.257239037,3.934233732,7.235713371,10.8470899,15.75083949,19.96966259,21.522734,21.16188891,18.48516567,12.33835458,6.369147197,3.657456285,11.96089595,8.864559195,11.01508321,15.5262883,19.29965594,23.77613697,25.51838354,25.71289111,25.01363176,23.10235881,18.31022885,13.01723654,9.111754661,18.18901217,0.507620286,0.551172167,0.793651106,0.682810508,0.97279396,0.975640575,0.862205993,0.87086013,0.923111256,0.700696973,0.543349614,0.462130064,0.737212013,3.904447324
1007,138.064347,144.4454179,137.2846141,128.1898922,100.3775959,117.704696,119.7602173,108.754003,103.7929118,81.94867198,116.25919,134.4611378,1431.044192,14.02308357,17.84659605,22.66083272,26.87915445,29.26391634,29.96141416,29.01840269,26.68241659,23.24040976,18.98789616,14.77943522,12.67932725,22.16853151,8.384768705,10.55759863,14.61582612,18.52189259,21.40411778,22.01584779,21.7364293,20.21516158,16.84498809,13.79116061,10.169271,7.322553843,15.46492375,0.597904583,0.591531022,0.644933318,0.689032164,0.731374695,0.734765497,0.749014925,0.757580441,0.724771244,0.726273546,0.688028716,0.577479293,0.684336762,1.941001099,3.441356229,6.42116534,10.64619859,15.80213058,19.84026052,21.6061523,21.14887538,18.33707079,12.49686172,6.703158455,3.875787255,11.8547043,13.12991812,15.62095594,20.14848238,24.34145004,28.25261875,31.71252792,33.11357248,32.92314051,30.4893773,25.058781,18.96653642,14.39382722,24.01274644,7.034377986,9.113136544,13.14949734,17.19506393,21.72446038,25.63460968,27.22471656,26.90645794,24.11664088,18.13141904,11.98680314,8.369514706,17.54884314,0.938968942,2.605457407,6.150651548,10.04882507,15.19644094,19.55681897,21.33599597,20.88989942,17.74404094,11.20418249,5.007195286,2.345340167,11.08504917,7.739725096,9.997872199,14.37280189,18.15832364,20.97193518,24.5320166,25.84317288,26.2243142,23.45520283,17.60547778,12.01149512,7.873557288,17.39895801,0.480643664,0.524966655,0.748879292,0.572717225,0.69366435,0.806521819,0.812745958,0.853768945,0.823695381,0.626166649,0.454209182,0.41934022,0.651485041,5.364979923
1009,138.425642,137.7215894,141.8685187,138.5004608,121.2822451,125.6712228,118.6323827,104.7777927,106.535086,90.87170986,112.1599561,145.2130203,1481.661112,13.62313259,17.52308042,22.44533555,26.82755466,29.36084295,30.11206097,29.14165874,26.70675681,23.13178773,18.71540275,14.38557731,12.25225393,22.01874727,8.131326351,10.07929438,14.25516457,18.63514423,20.98605698,21.73741014,21.01843034,19.47242706,16.48145705,13.37364963,9.758884836,7.112395576,15.086756,0.596853176,0.575165941,0.635063813,0.694570194,0.714718065,0.721824448,0.721218069,0.729108491,0.712476581,0.714542535,0.678344663,0.580463813,0.67280956,0.676597857,1.995028675,5.179823267,9.424428473,14.89502516,18.98742927,21.00463037,20.40053341,17.24270701,11.33247524,5.537388152,2.633416965,10.77594548,10.91229332,13.1961422,17.89533777,22.57498881,26.51538973,30.16807897,31.70330238,31.50474709,28.90097687,23.43126208,17.05470057,12.3598423,22.18424616,5.378870086,7.245443461,11.50311999,15.8686836,20.40288353,24.37680687,26.15277911,25.75246218,22.75889512,16.72335809,10.65269976,6.853353029,16.139358,-0.154340421,1.294885074,5.111022214,9.162514666,14.29051456,18.58567189,20.60238355,20.00030378,16.61695284,10.01559016,4.250831807,1.347002093,10.09329334,6.318758351,8.138482794,11.90514016,16.00642081,18.19660065,21.59760804,22.79077278,23.39943563,20.98710373,15.59696657,10.27761996,6.528825369,15.14542409,0.462309562,0.485119136,0.826909556,0.805556365,0.800678702,0.801845726,0.830519127,0.873005298,0.898798915,0.597204239,0.524289347,0.414953182,0.693503174,3.783799669
1011,123.9440565,120.3662161,134.0451528,112.4980939,92.95360829,124.9261853,139.7030678,117.7765335,97.88267008,77.06295927,109.5343125,130.9764352,1381.670831,14.42796877,18.21356119,22.93517233,27.05573268,29.32533137,29.93927207,29.02962628,26.79116737,23.47549208,19.32009457,15.1791823,13.07645153,22.39738222,9.082139321,11.49871086,15.86136992,19.93229334,22.4922958,21.69325746,21.45178837,19.31708225,16.83397983,14.08048729,10.71390464,8.188450389,15.92876745,0.629458007,0.631281465,0.691524673,0.736662942,0.766945661,0.724530847,0.738913558,0.720980229,0.717053069,0.728748132,0.705783932,0.626176528,0.701451831,2.828548061,4.20443941,6.866970198,10.80167381,15.61058228,19.83431562,21.52276727,21.2847538,18.57519592,12.91572929,7.383109681,4.659330762,12.20752437,14.38762303,16.68081557,20.83857609,24.55843765,28.51141666,31.38280402,32.64928667,32.31202486,30.11662387,25.31506228,19.87368348,15.65679963,24.3569043,8.061524532,10.01332568,13.7878095,17.46539832,21.9359278,25.53824126,27.00082774,26.65636964,24.13746725,18.5509441,12.8224034,9.410096051,17.94875128,1.735566623,3.345962869,6.737166499,10.37249484,15.36057993,19.69382663,21.35249694,21.00084142,18.15845143,11.78697381,5.771239357,3.163545603,11.53986514,8.63323061,10.8418343,15.20990704,18.73680814,22.37487715,24.17350672,25.00475865,24.53044993,22.64634763,17.905807,12.85077249,8.87873805,17.64912662,0.54112838,0.606619736,0.828569118,0.656811096,0.871564174,0.911090094,0.852898745,0.855769111,0.895937009,0.672480231,0.566117272,0.485423444,0.72850245,3.313870136
1013,139.2168309,122.3470272,139.8300189,117.1307858,103.3041765,136.4940292,144.2216944,129.0696805,112.3079361,89.5955703,112.7996142,138.2869501,1484.605841,14.56280305,18.32127051,23.01208144,27.05996075,29.2963087,29.90447362,29.01052496,26.79670872,23.51469601,19.41895674,15.32102608,13.23549367,22.45448483,9.363129657,11.72427067,15.91717055,19.98217136,22.53772168,21.71246524,21.31760124,19.15827303,17.18736102,14.33326033,11.05656976,8.518543341,16.06733801,0.642911094,0.6398846,0.691646993,0.738393997,0.769263229,0.726011095,0.734776903,0.714905966,0.730881179,0.73806152,0.72161793,0.643575197,0.707604257,3.400282817,5.045083637,7.687081015,11.32668175,15.93264145,19.99174139,21.60146953,21.32911478,18.91891838,13.20239796,7.998739108,5.242268244,12.63973214,14.95139362,17.2848184,21.34427816,25.00439681,28.94433951,31.7484719,32.93239923,32.61137631,30.59567782,25.83398318,20.35474645,16.27610206,24.82349068,8.51637414,10.56397323,14.31195434,17.92229181,22.27775155,25.81634895,27.1817728,26.88080783,24.53566007,19.00410121,13.26765951,9.913320248,18.34939093,2.081493111,3.843258024,7.279781896,10.8403288,15.61130815,19.88438153,21.43127383,21.15036611,18.47577049,12.17435955,6.180700702,3.550668288,11.87520396,8.863659582,11.13162876,15.47970904,19.10452334,23.07474911,24.86731728,25.55382067,25.4394096,23.27779504,18.56480975,13.12083471,9.246469848,18.14306523,0.527233322,0.565789733,0.748722204,0.699247848,0.825418783,0.992581172,0.911830749,0.992887155,1.046447834,0.842054683,0.614120496,0.513619646,0.773501688,3.874588533
1015,132.4019978,137.9219308,139.2817094,123.1153636,110.2067942,117.7258271,116.0364493,102.2472161,90.35707496,88.39311326,111.4840484,130.5515585,1399.724657,13.70844431,17.59746659,22.50049234,26.84945338,29.34114162,30.06817811,29.11183685,26.70520991,23.16326644,18.77405707,14.46558781,12.32995272,22.05121361,8.250563341,10.33767034,14.4097385,18.54663838,21.13614646,21.52722065,21.2185524,19.48633703,16.13516432,13.36725967,9.887009149,7.169839797,15.12263842,0.601845867,0.587418807,0.640381163,0.690724692,0.72031763,0.71590704,0.728824687,0.729667039,0.696571746,0.711969393,0.683457631,0.581478808,0.673991746,0.589842337,1.936512887,5.105015182,9.371458603,14.9237914,19.10451133,21.01719473,20.52785236,17.50053013,11.55575268,5.377410462,2.534570526,10.79563622,11.75722912,14.06894789,18.72531242,23.17635942,26.92512986,30.33239569,31.9553816,31.6350533,29.13299572,23.81474174,17.78118652,13.18731262,22.70740641,5.718256322,7.631472756,11.74208437,15.97533254,20.40388522,24.34778884,26.15393342,25.75744059,22.84200991,16.85622902,10.78425035,7.152697485,16.28069482,-0.320482346,1.194136435,4.758981034,8.77443745,13.88277147,18.36330068,20.35260192,19.87996543,16.55116436,9.897865643,3.787449312,1.118218795,9.853876192,7.05390924,9.000490334,13.0496514,17.10115487,19.05997472,21.81609831,23.41933701,23.53177115,21.25624064,16.04834782,11.19144324,7.303913924,15.81964307,0.438523519,0.465861164,0.670945864,0.619609395,0.577522337,0.607588218,0.643951751,0.70483763,0.714316451,0.484030576,0.436581166,0.380184696,0.562227047,2.795503781
1017,130.7821231,129.460556,135.4057285,115.8611719,100.849246,112.7048689,125.1623242,106.4529827,89.15479948,83.68139089,104.8906537,135.9366104,1370.343951,14.11299294,17.9571484,22.76883935,27.00974168,29.38741483,30.05005258,29.11343142,26.79383933,23.37459276,19.09095398,14.86388078,12.73760192,22.27166947,8.743378629,10.89560529,15.52246514,19.18927506,22.20436054,21.5596462,21.90286613,19.57135164,17.18796618,13.98876632,10.50794867,7.760749796,15.75282964,0.619496653,0.606699983,0.681692204,0.710414423,0.755531094,0.717411093,0.752282204,0.730398871,0.735291091,0.732706648,0.706913318,0.609242207,0.696453315,1.440003297,2.917661044,5.837276522,9.879133108,15.16877739,19.38654503,21.17794959,20.87827613,18.03825287,12.25327079,6.375780948,3.415633255,11.39688306,13.219093,15.45785631,19.76136956,23.80140273,27.73518598,30.90258259,32.39785584,31.92772255,29.36955034,24.33708941,18.86789517,14.458203,23.51954924,6.831709809,8.779077636,12.61286295,16.54984292,21.06289501,24.84883166,26.51692159,26.12271052,23.29242723,17.51436621,11.80403416,8.181785345,17.00965282,0.444469989,2.100452171,5.464476538,9.298420874,14.39073742,18.79520955,20.63610848,20.31783837,17.21542286,10.69178306,4.740296549,1.905517733,10.50010194,8.027144231,10.02424755,14.15192628,17.99210409,20.84263505,23.30709722,24.6858817,24.00710169,21.30012057,16.46925188,12.01228641,8.187668694,16.75066062,0.459896656,0.498613322,0.654817763,0.560763322,0.59973665,0.620837761,0.56136443,0.613373316,0.674367761,0.47977221,0.450968878,0.382955547,0.546218874,2.860859705
1019,130.5839096,129.8102807,138.5731593,123.3675533,109.8337556,109.5286511,111.9027445,99.68819263,100.5285108,90.01838918,108.885516,133.8433103,1386.565488,13.51741443,17.43293827,22.37526766,26.78368907,29.32832542,30.0789242,29.12617876,26.66560502,23.07938125,18.62178928,14.27406101,12.13401904,21.95142219,8.221932725,10.18784292,14.16271216,18.74437451,21.34937674,21.86209833,21.50193912,20.05805631,16.64746434,13.34471219,9.806658853,7.134338444,15.25174852,0.608205669,0.584346577,0.63291589,0.699802253,0.727911346,0.726778388,0.738214752,0.752188617,0.72129203,0.716582937,0.68697953,0.58792612,0.681878391,-0.103474997,1.232687466,4.381269236,8.774982778,14.48275187,18.76170286,20.73691537,20.22487335,17.12141997,11.11168608,4.705341924,1.886632894,10.27623155,10.82060767,13.23350193,17.97038352,22.76501649,26.74649813,30.34934926,32.04917078,31.72120491,29.07857201,23.51025046,17.13373011,12.27207467,22.30442548,4.957287366,6.92798505,11.07893725,15.491761,20.0690916,24.1698551,26.02554367,25.6147472,22.60076649,16.49663361,10.18160317,6.474579367,15.84045302,-0.905812475,0.622614756,4.187606728,8.218643031,13.3918303,17.99048133,20.00205742,19.50841542,16.12310976,9.483142923,3.22959878,0.677219301,9.377944025,6.589768041,8.541019115,12.53460429,16.88948137,19.19231759,22.50718125,24.21428121,24.36191977,21.71811418,15.98057112,10.83720191,6.81827821,15.8486302,0.435307944,0.47389317,0.67911589,0.633417029,0.584557935,0.632006802,0.683323847,0.722571572,0.684288619,0.486373852,0.41998749,0.388655674,0.568511352,3.313592873
