Breeding_Value,species,latitude,longitude,state_of_origin,fips
-3.527939874,JC,35.67868,-85.7785,TN,47177
-3.082734035,JC,39.29712,-90.61268,IL,17013
-3.073008834,JC,36.64839,-91.20152,MO,29149
-3.062149949,JC,42.00027,-93.50049,IA,19169
-2.801215033,JC,41.54902,-86.74237,IN,18091
-2.763054544,JC,39.99855,-86.28926,IN,18011
-2.737432795,JC,45.13598,-90.34409,WI,55119
-2.645579684,JC,40.78808,-89.75999,IL,17143
-2.640317396,JC,38.99062,-92.30968,MO,29019
-2.626724324,JC,38.7889,-81.1275,WV,54013
-2.575772578,JC,35.72493,-83.49363,TN,47155
-2.531414103,JC,38.34843,-81.63219,WV,54039
-2.387023179,JC,38.42797,-82.45641,OH,39087
-2.284452264,JC,35.67868,-85.7785,TN,47177
-2.238519514,JC,44.58194,-92.60194,MN,27049
-2.211610263,JC,40.78808,-89.75999,IL,17143
-2.200784912,JC,37.64734,-80.87875,WV,54089
-2.122894198,JC,38.7889,-81.1275,WV,54013
-2.093238759,JC,39.69831,-89.61959,IL,17167
-2.089830605,JC,40.91934,-77.81995,PA,42027
-2.061612406,JC,38.7889,-81.1275,WV,54013
-2.053615972,JC,35.72493,-83.49363,TN,47155
-2.021565467,JC,42.28478,-83.26113,MI,26163
-2.017504801,JC,34.72121,-87.70338,AL,1033
-2.005029629,JC,40.78808,-89.75999,IL,17143
-2.002573696,JC,38.85795,-80.65384,WV,54007
-1.98662709,JC,41.60242,-80.30953,PA,42039
-1.95430656,JC,38.37011,-83.69665,KY,21069
-1.931961952,JC,37.8661,-80.4097,WV,54025
-1.928377424,JC,42.95373,-84.14673,MI,26155
-1.90750502,JC,42.8371,-88.734,WI,55127
-1.831221717,JC,38.85298,-82.13026,WV,54053
-1.815500763,JC,43.46963,-89.73782,WI,55111
-1.771324601,JC,41.20447,-89.28583,IL,17155
-1.760918521,JC,38.34843,-81.63219,WV,54039
-1.730760205,JC,39.63773,-79.94639,WV,54061
-1.711549871,JC,39.47681,-80.14898,WV,54049
-1.694898152,JC,42.8371,-88.734,WI,55127
-1.688569563,JC,38.7889,-81.1275,WV,54013
-1.683373861,JC,45.56149,-93.29518,MN,27059
-1.679437755,JC,38.7889,-81.1275,WV,54013
-1.669850568,JC,38.66531,-78.45449,VA,51139
-1.657889734,JC,38.7889,-81.1275,WV,54013
-1.645347877,JC,42.8371,-88.734,WI,55055
-1.635893071,JC,37.64734,-80.87875,WV,54089
-1.610053878,JC,41.64261,-85.4265,IN,18087
-1.608075911,JC,37.15739,-91.40051,MO,29203
-1.599392509,JC,40.78808,-89.75999,IL,17143
-1.589437306,JC,37.72768,-80.64362,WV,54025
-1.576691966,JC,38.3814,-81.1119,WV,54015
-1.508447056,JC,42.2437,-83.62073,MI,26161
-1.442102301,JC,37.95143,-91.77127,MO,29161
-1.430709751,JC,40.0497,-75.4256,PA,42029
-1.413378525,JC,42.8371,-88.734,WI,55055
-1.412951088,JC,38.34843,-81.63219,WV,54039
-1.387694458,JC,41.29153,-88.69112,IL,17099
-1.348281198,JC,37.12698,-81.51302,VA,51185
-1.338329309,JC,38.41104,-80.5542,WV,54101
-1.315107173,JC,43.967234,-75.904278,NY,36045
-1.307698737,JC,45.68592,-92.59008,WI,55013
-1.236070478,JC,36.65282,-90.86388,MO,29181
-1.233837946,JC,39.2103,-79.9331,WV,54001
-1.217611554,JC,35.72493,-83.49363,TN,47155
-1.20136244,JC,38.3814,-81.1119,WV,54015
-1.198020833,JC,43.46963,-89.73782,WI,55111
-1.166406291,JC,37.83115,-83.82377,KY,21197
-1.163521173,JC,38.34843,-81.63219,WV,54039
-1.156969577,JC,45.02417,-93.46028,MN,27053
-1.11595109,JC,38.7889,-81.1275,WV,54013
-1.106709885,JC,42.8371,-88.734,WI,55127
-1.07835466,JC,41.60242,-80.30953,PA,42039
-1.061070816,JC,45.56324,-88.6997,WI,55041
-1.051085035,JC,38.25031,-92.50046,MO,29131
-1.039875023,JC,38.36428,-86.8798,IN,18037
-1.032448114,JC,39.47681,-80.14898,WV,54049
-1.020878471,JC,38.50038,-80.50009,WV,54085
-1.006644776,JC,43.8203,-72.5211,VT,50027
-1.001179795,JC,39.63773,-79.94639,WV,54061
-0.995919687,JC,38.92406,-80.85708,WV,54021
-0.98857438,JC,38.36428,-86.8798,IN,18037
-0.958131887,JC,42.8371,-88.734,WI,55055
-0.94489705,JC,37.64734,-80.87875,WV,54089
-0.936293371,JC,34.72121,-87.70338,AL,1033
-0.917405299,JC,37.26022,-81.21683,WV,54055
-0.906893772,JC,39.0075,-78.85792,WV,54031
-0.893473894,JC,37.83115,-83.82377,KY,21197
-0.891942176,JC,38.66531,-78.45449,VA,51139
-0.888493174,JC,40.78808,-89.75999,IL,17143
-0.886931482,JC,43.8203,-72.5211,VT,50027
-0.861316314,JC,34.72121,-87.70338,AL,1033
-0.860287879,JC,44.48265,-92.14969,WI,55091
-0.835105037,JC,38.34843,-81.63219,WV,54039
-0.831920784,JC,37.95143,-91.77127,MO,29161
-0.822023108,JC,38.92406,-80.85708,WV,54021
-0.808341046,JC,37.14138,-80.40276,VA,51121
-0.792826362,JC,38.92406,-80.85708,WV,54021
-0.780266355,JC,39.0391,-80.46174,WV,54041
-0.772917757,JC,38.31817,-83.04954,KY,21043
-0.772154303,JC,37.67938,-91.11439,MO,29093
-0.761273292,JC,42.8371,-88.734,WI,55055
-0.750119199,JC,37.64734,-80.87875,WV,54089
-0.739672474,JC,43.08097,-89.39172,WI,55025
-0.731383567,JC,42.84209,-85.24254,MI,26067
-0.730084823,JC,38.28433,-80.84155,WV,54067
-0.722042203,JXC,39.54366,-86.36742,IN,18109
-0.720972824,JC,38.023,-81.71121,WV,54005
-0.716190296,JC,42.50906,-84.6527,MI,26045
-0.706522174,JC,37.83115,-83.82377,KY,21197
-0.694626405,JC,41.60242,-80.30953,PA,42039
-0.686853222,JC,43.00035,-75.4999,NY,36065
-0.679125962,JC,39.33933,-82.99369,OH,39141
-0.66627153,JXC,40.00032,-86.25027,IN,18011
-0.662966119,JC,37.72768,-80.64362,WV,54025
-0.652732026,JC,42.2437,-83.62073,MI,26161
-0.597127626,JC,37.54812,-77.44675,VA,51159
-0.587451029,JXC,43.42437,-70.7573,ME,23031
-0.5343746,JC,38.28433,-80.84155,WV,54067
-0.532687338,JC,42.8371,-88.734,WI,55127
-0.512079784,JXC,41.64387,-85.00077,IN,18151
-0.491916178,JC,42.02615,-85.81208,MI,26027
-0.487814599,JC,38.4203,-82.24172,WV,54011
-0.476421911,JC,37.26022,-81.21683,WV,54055
-0.475531903,JC,37.95143,-91.77127,MO,29161
-0.471454855,JC,42.8371,-88.734,WI,55127
-0.451746964,JC,39.33933,-82.99369,OH,39141
-0.44561561,JC,45.68592,-92.59008,WI,55013
-0.407238413,JXC,41.16102,-85.48541,IN,18183
-0.402458974,JC,39.65612,-77.93078,MD,24043
-0.399176473,JC,41.63914,-87.0948,IN,18127
-0.396284337,JC,38.66531,-78.45449,VA,51139
-0.384102354,JC,42.8371,-88.734,WI,55127
-0.362455814,JC,36.70891,-81.97111,VA,51191
-0.340836836,JC,38.08077,-81.83425,WV,54005
-0.329008242,JC,38.7889,-81.1275,WV,54013
-0.322461944,JC,37.72768,-80.64362,WV,54025
-0.322143703,JC,38.84116,-86.48345,IN,18093
-0.318403839,JC,38.34843,-81.63219,WV,54039
-0.311836844,JC,38.85795,-80.65384,WV,54007
-0.250367273,JC,34.72121,-87.70338,AL,1033
-0.242715438,JC,45.56324,-88.6997,WI,55041
-0.215438258,JC,38.41104,-80.5542,WV,54101
-0.206980929,JC,38.085,-80.2847,WV,54075
-0.200047379,JXC,38.08077,-81.83425,WV,54005
-0.18662918,JA,39.3242,-79.5544,WV,54077
-0.176468308,JC,38.7889,-81.1275,WV,54013
